str_date,str_time,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
2016.04.01,00:15,0.817,0.73,0.767,0.768,0.788,0.805,0.814,0.811,0.75,0.768,0.747,0.548,0.574,0.649,0.445,0.45,0.198,0.233,0.046,-0.126,-0.049,-0.052,0.04,0.026,-0.062,-0.049,0.077,0.082,0.032,0,0.002
2016.04.01,00:30,0.728,0.765,0.766,0.786,0.803,0.812,0.809,0.748,0.766,0.745,0.546,0.572,0.647,0.443,0.448,0.196,0.231,0.044,-0.128,-0.051,-0.054,0.038,0.024,-0.064,-0.051,0.075,0.08,0.03,-0.002,0,-0.084
2016.04.01,00:45,0.849,0.85,0.87,0.887,0.896,0.893,0.832,0.85,0.829,0.63,0.656,0.731,0.527,0.532,0.28,0.315,0.128,-0.044,0.033,0.03,0.122,0.108,0.02,0.033,0.159,0.164,0.114,0.082,0.084,0,0.124
2016.04.01,01:00,0.726,0.746,0.763,0.772,0.769,0.708,0.726,0.705,0.506,0.532,0.607,0.403,0.408,0.156,0.191,0.004,-0.168,-0.091,-0.094,-0.002,-0.016,-0.104,-0.091,0.035,0.04,-0.01,-0.042,-0.04,-0.124,0,0.036
2016.04.01,01:15,0.71,0.727,0.736,0.733,0.672,0.69,0.669,0.47,0.496,0.571,0.367,0.372,0.12,0.155,-0.032,-0.204,-0.127,-0.13,-0.038,-0.052,-0.14,-0.127,-0.001,0.004,-0.046,-0.078,-0.076,-0.16,-0.036,0,-0.05
2016.04.01,01:30,0.777,0.786,0.783,0.722,0.74,0.719,0.52,0.546,0.621,0.417,0.422,0.17,0.205,0.018,-0.154,-0.077,-0.08,0.012,-0.002,-0.09,-0.077,0.049,0.054,0.004,-0.028,-0.026,-0.11,0.014,0.05,0,0.192
2016.04.01,01:45,0.594,0.591,0.53,0.548,0.527,0.328,0.354,0.429,0.225,0.23,-0.022,0.013,-0.174,-0.346,-0.269,-0.272,-0.18,-0.194,-0.282,-0.269,-0.143,-0.138,-0.188,-0.22,-0.218,-0.302,-0.178,-0.142,-0.192,0,0.015
2016.04.01,02:00,0.576,0.515,0.533,0.512,0.313,0.339,0.414,0.21,0.215,-0.037,-0.002,-0.189,-0.361,-0.284,-0.287,-0.195,-0.209,-0.297,-0.284,-0.158,-0.153,-0.203,-0.235,-0.233,-0.317,-0.193,-0.157,-0.207,-0.015,0,0.045
2016.04.01,02:15,0.47,0.488,0.467,0.268,0.294,0.369,0.165,0.17,-0.082,-0.047,-0.234,-0.406,-0.329,-0.332,-0.24,-0.254,-0.342,-0.329,-0.203,-0.198,-0.248,-0.28,-0.278,-0.362,-0.238,-0.202,-0.252,-0.06,-0.045,0,0.272
2016.04.01,02:30,0.216,0.195,-0.004,0.022,0.097,-0.107,-0.102,-0.354,-0.319,-0.506,-0.678,-0.601,-0.604,-0.512,-0.526,-0.614,-0.601,-0.475,-0.47,-0.52,-0.552,-0.55,-0.634,-0.51,-0.474,-0.524,-0.332,-0.317,-0.272,0,-0.204
2016.04.01,02:45,0.399,0.2,0.226,0.301,0.097,0.102,-0.15,-0.115,-0.302,-0.474,-0.397,-0.4,-0.308,-0.322,-0.41,-0.397,-0.271,-0.266,-0.316,-0.348,-0.346,-0.43,-0.306,-0.27,-0.32,-0.128,-0.113,-0.068,0.204,0,-0.213
2016.04.01,03:00,0.413,0.439,0.514,0.31,0.315,0.063,0.098,-0.089,-0.261,-0.184,-0.187,-0.095,-0.109,-0.197,-0.184,-0.058,-0.053,-0.103,-0.135,-0.133,-0.217,-0.093,-0.057,-0.107,0.085,0.1,0.145,0.417,0.213,0,-0.124
